when,time
3/5/2019 10:46,15
3/5/2019 10:46,0
3/5/2019 10:46,15
3/5/2019 10:46,0
3/5/2019 10:46,15
3/5/2019 10:46,0
3/5/2019 10:46,0
3/5/2019 10:46,31
3/5/2019 10:46,31
3/5/2019 10:47,31
3/5/2019 10:47,15
3/5/2019 10:47,46
3/5/2019 10:47,15
3/5/2019 10:47,0
3/5/2019 10:47,46
3/5/2019 10:47,15
3/5/2019 10:47,78
3/5/2019 10:47,109
3/5/2019 10:47,15
3/5/2019 10:47,0
3/5/2019 10:47,31
3/5/2019 10:47,0
3/5/2019 10:47,15
3/5/2019 10:47,62
3/5/2019 10:48,31
3/5/2019 10:48,0
3/5/2019 10:48,15
3/5/2019 10:48,31
3/5/2019 10:48,15
3/5/2019 10:49,15
3/5/2019 10:49,15
3/5/2019 10:49,15
3/5/2019 10:49,0
3/5/2019 10:50,15
3/5/2019 10:50,0
3/5/2019 10:50,0
3/5/2019 10:50,31
3/5/2019 10:50,0
3/5/2019 10:50,15
3/5/2019 10:50,15
3/5/2019 10:50,15
3/5/2019 10:51,15
3/5/2019 10:51,31
3/5/2019 10:51,15
3/5/2019 10:51,15
3/5/2019 10:51,15
3/5/2019 10:51,15
3/5/2019 10:51,0
3/5/2019 10:51,15
3/5/2019 10:51,15
3/5/2019 10:51,15
3/5/2019 10:51,15
3/5/2019 10:51,0
3/5/2019 10:51,0
3/5/2019 10:52,15
3/5/2019 10:52,15
3/5/2019 10:52,15
3/5/2019 10:52,0
3/5/2019 10:52,0
3/5/2019 10:52,0
3/5/2019 10:53,15
3/5/2019 10:53,124
3/5/2019 10:53,0
3/5/2019 10:53,15
3/5/2019 10:53,15
3/5/2019 10:53,15
3/5/2019 10:53,0
3/5/2019 10:53,15
3/5/2019 10:53,0
3/5/2019 10:54,15
3/5/2019 10:54,0
3/5/2019 10:54,15
3/5/2019 10:54,15
3/5/2019 10:55,46
3/5/2019 10:55,15
3/5/2019 10:55,15
3/5/2019 10:55,31
3/5/2019 10:55,15
3/5/2019 10:55,15
3/5/2019 10:55,15
3/5/2019 10:55,15
3/5/2019 10:55,15
3/5/2019 10:55,0
3/5/2019 10:55,109
3/5/2019 10:55,15
3/5/2019 10:55,31
3/5/2019 10:55,0
3/5/2019 10:55,15
3/5/2019 10:56,46
3/5/2019 10:56,15
3/5/2019 10:56,15
3/5/2019 10:56,31
3/5/2019 10:56,7
3/5/2019 10:56,15
